price,id,category,surface,title,zip_code,rent
1057455,2366929,Restaurant,130,Vente bar restaurant quartier touristique à Paris,,8861
285000,2366917,Restaurant,200,Vente restaurant bien placé Paris 10 faible loyer,75010,1328
585360,2366816,Restaurant,200,Vente restaurant extraction Paris 05 Notre Dame,,
431200,2366812,Restaurant,120,Vente restaurant traditionnel à Paris 75015,75015,
750400,2366811,Restaurant,200,Vente restaurant extraction à Paris 19 Villette,,
302400,2366809,Restaurant,85,Vente restaurant salon de thé Paris 10 République,,
704600,2366805,Restaurant,80,AV restaurant Paris 9 quartier Galerie Lafayette,,
7083,2366808,Restaurant,105,Location gérance restaurant Arts et Métiers 75003,,7083
433600,2366803,Restaurant,80,Vente restaurant bar à Paris 09 Grands Boulevards,,
857600,2366801,Restaurant,120,Vente restaurant Paris 3 quartier Arts et Métiers,,
350720,2366793,Restaurant,130,Cession restaurant extraction quartier bureaux,,
1380000,2366590,Restaurant,0,Vente restaurant à Paris quartier Rivoli 75001,75001,
290000,2366470,Restaurant,85,Vente commerce 85m² à Paris République Parmentier,,4135
691927,2366457,Restaurant,300,Vente restaurant festif 180 cvts à Paris Charonne,,7083
199440,2366357,Restaurant,53,Cède point de vente restauration à emporter,,
911200,2366356,Restaurant,300,Vente magnifique restaurant licence 4 de 300m²,,
190000,2366019,Restaurant,70,Vente restaurant de 70m² à Paris 09 Lafayette,,1830
160000,2366018,Restaurant,98,Vente commerce de 110m² à Paris 14 Alesia,,7666
335000,2366015,Restaurant,0,Restaurant traiteur à vendre à Paris 75007,,5800
203175,2365992,Restaurant,0,Restaurant rénové à vendre à Paris 75009,,2437
1380000,2365982,Restaurant,112,Vente murs + fonds restaurant tradi à Paris 75001,,4000
27000,2365979,Restaurant,30,Vente restaurant traditionnel petit loyer Paris 14,,
87000,2365978,Restaurant,70,Vente restaurant grosse extraction à Paris 75014,,
168000,2365975,Restaurant,100,Vente FDC restauration exceptionnelle à Paris 14,,1200
310000,2365974,Restaurant,120,Vente restaurant à Paris 15 secteur Vaugirard,,5200
178900,2365977,Restaurant,70,Vente beau restauration à Paris 75006,,2500
460800,2365976,Restaurant,99,Vente restaurant à Paris 75017 Batignolles,75017,3723
140000,2365913,Restaurant,40,Cession fonds de commerce de restauration équipé,,
422760,2365910,Restaurant,105,Cession fonds de commerce de restaurant,,
196500,2365876,Restaurant,53,Vente restaurant VAE avec terrasse à Paris 75011,,
328800,2269742,Restaurant,0,Vente restaurant traditionnel à Paris Rive Gauche,,
650400,2365694,Restaurant,150,Vente restaurant avec extraction à Paris 75004,,
487800,2365693,Restaurant,150,Vente bar restaurant licence IV à Paris 75009,,
596200,2365695,Restaurant,120,Vente restaurant Licence 4 à Paris 75004,,
460000,2365578,Restaurant,130,Vente bar restaurant lic IV extraction à Paris 9,,
9000,2366491,Restaurant,70,Loc gérance restaurant à Paris 14e Montparnasse,,9000
670500,2365541,Restaurant,50,Vente commerce de 50m² à Paris 75008 Boetie,,1620
900000,2365538,Restaurant,142,Vente commerce de 142m² à Paris 8 Saint Lazare,,16723
230000,2365528,Restaurant,95,AV restaurant 95m² à Paris 13 Gobelins-Austerlitz,,3255
464400,2365522,Restaurant,120,AV restaurant 60 cvts Terrasse 16 cvts à Paris 11,,2667
255300,2365511,Restaurant,70,Restaurant à vendre à Paris Cambronne 75015,,1342
190400,2365501,Restaurant,100,Restaurant à vendre à Paris 75003 quartier Marais,,
329000,2365461,Restaurant,140,Vente restaurant terrasse très bien situé Paris 9,,
668000,2365387,Restaurant,0,Restaurant en angle à vendre à Paris 75008,,
175000,2365337,Restaurant,87,Vente restaurant traiteur licence IV à Paris 75005,,
808000,2365060,Restaurant,100,Cède restaurant empl N°1 à Paris 3 Haut Marais,,5417
808524,2365057,Restaurant,230,Cède restaurant lic 4 à Paris prox Arc de Triomphe,,3829
165000,2365026,Restaurant,47,AV restaurant terrasse et peu de concurrence Paris,,3430
325000,2365021,Restaurant,50,Cède restaurant terrasse estivale extraction Paris,,
219000,2365020,Restaurant,90,Vente restaurant avec terrasse et extraction Paris,,
795000,2365019,Restaurant,500,Vente restaurant grande terrasse d'angle Paris 13,,
328800,2364977,Restaurant,120,Cession fonds de commerce restaurant bar lic IV,,
327000,2364960,Restaurant,160,Vente restaurant à Paris 75005 Sorbonne,,
748000,2364949,Restaurant,0,Vente restaurant bistrot en angle à Paris centre,,
580000,2364812,Restaurant,100,AV restaurant de chef lic IV à Paris Marais,,5
170000,2364496,Restaurant,100,Vente commerce de 100m² à Paris République 11,,4300
462000,2364208,Restaurant,70,Vente restaurant lic 4 75006 St Germain des Prés,,2850
145200,2364184,Restaurant,40,Vente restaurant FDC Paris 75009,,2000
850000,2364113,Restaurant,270,Cession FDC restauration métro Gare de l'Est 75010,,6870
1125000,2364110,Restaurant,781,Vente restaurant festif rénové à Paris 75009,,
383600,2364103,Restaurant,100,Cession fonds de Commerce Bld Montmartre 75002,,
2103713,2364098,Restaurant,0,AV brasserie angle terrasse quartier top de Paris,,5061
359000,2364041,Restaurant,114,Vente restaurant bar rénové à Paris 75013,,
203175,2364023,Restaurant,105,Vente restaurant avec terrasse Paris Montparnasse,,4237
380000,2363766,Restaurant,300,Vente commerce Bastille Ledru Rollin 75011,,6600
180000,2363457,Restaurant,135,Vente restaurant Place des Fetes Buttes Chaumont,,2375
228900,2363382,Restaurant,52,Vente restaurant asiatique 75008 Saint Lazare,,
219435,2363379,Restaurant,54,AV restaurant grill bon secteur 75020 Pyrénées,,1800
235000,2363248,Restaurant,79,Vente fonds de commerce métro Bolivar 75019,,800
176000,2362617,Restaurant,150,Restaurant à vendre à Paris 75011 emplacement N°1,75011,1520
132960,2362394,Restaurant,80,Vente restaurant à Paris 75019 quartier de bureaux,,
288750,2362374,Restaurant,127,Vente commerce de 127m² à paris 12 Gare de Lyon,,3250
3240,2362137,Restaurant,32,Location gérance restaurant 32m² à Paris 75011,,3240
450000,2362133,Restaurant,165,Vente commerce de 165m² à Paris 75002 Opéra,,6218
190000,2362131,Restaurant,55,Vente commerce de 55m² à Paris Menilmontant,,2600
252080,2362073,Restaurant,0,Vente restaurant Licence IV 50 places à Paris,,
180000,2361426,Restaurant,100,Vente restaurant de 100m² à Paris Halles Beaubourg,,2700
150000,2361274,Restaurant,53,Vente commerce 53m² à Paris 75020 Avron Bagnolet,,2100
